,Bond Nav (Net),Cash for Coupon Payment,Cash for New Issuance,Bond Nav,Bond PnL,Bond Return,Bond Return Cumulative,Hedge Nav,Hedge PnL,Hedge Return,Total Return Daily,Total Return Cumulative,Difference in Return,Same Direction
2019-10-09,19737971.11111111,291375.00000000,13966640.00000000,33995986.11111111,-13847.77777777,-0.00040717,-0.00420800,25850934.80542117,-216853.40720527,-0.00404397,-0.00656688,0.07977329,-0.08398130,1
2019-10-10,19750043.33333334,291375.00000000,13966640.00000000,34008058.33333334,12072.22222222,0.00035511,-0.00385439,25384096.39137055,-466838.41405061,-0.00861027,-0.01303043,0.06570338,-0.06955777,0
2019-10-11,19768915.55555556,331125.00000000,13966640.00000000,34066680.55555555,58622.22222222,0.00172377,-0.00213726,24932644.37500691,-451452.01636364,-0.00852650,-0.01140437,0.05354970,-0.05568696,0
2019-10-14,19786222.22222222,331125.00000000,13966640.00000000,34083987.22222222,17306.66666667,0.00050802,-0.00163032,25116111.54778642,183467.17277951,0.00342305,0.00589597,0.05976140,-0.06139172,1
2019-10-15,19748284.44444444,377375.00000000,13966640.00000000,34092299.44444445,8312.22222222,0.00024387,-0.00138684,24713530.28334077,-402581.26444565,-0.00759484,-0.01151033,0.04756319,-0.04895004,0
2019-10-16,19742156.66666666,414625.00000000,13966640.00000000,34123421.66666666,31122.22222222,0.00091288,-0.00047523,24731140.88400304,17610.60066227,0.00031416,0.00143928,0.04907093,-0.04954616,1
2019-10-17,19682878.88888888,414625.00000000,13966640.00000000,34064143.88888888,-59277.77777778,-0.00173716,-0.00221156,24645209.56494223,-85931.31906081,-0.00164102,-0.00428245,0.04457833,-0.04678990,1
2019-10-18,19585961.11111111,414625.00000000,13966640.00000000,33967226.11111111,-96917.77777777,-0.00284516,-0.00505043,24627987.34272000,-17222.22222222,-0.00034444,-0.00338065,0.04104698,-0.04609741,1
2019-10-21,19601857.77777778,414625.00000000,13966640.00000000,33983122.77777778,15896.66666666,0.00046800,-0.00458479,24363760.45609814,-264226.88662186,-0.00505404,-0.00738011,0.03336395,-0.03794873,0
2019-10-22,19696970.00000000,414625.00000000,13966640.00000000,34078235.00000000,95112.22222222,0.00279881,-0.00179881,24551462.40975890,187701.95366075,0.00359821,0.00846742,0.04211387,-0.04391269,1
2019-10-23,19665262.22222222,414625.00000000,13966640.00000000,34046527.22222222,-31707.77777778,-0.00093044,-0.00272758,24538171.62991213,-13290.77984676,-0.00029568,-0.00133594,0.04072167,-0.04344925,1
2019-10-24,19634539.44444444,449000.00000000,13966640.00000000,34050179.44444445,3652.22222222,0.00010727,-0.00262060,24498061.52293898,-40110.10697315,-0.00074147,-0.00108383,0.03959371,-0.04221431,0
2019-10-25,20652961.66666666,449000.00000000,12966640.00000000,34068601.66666666,18422.22222222,0.00054103,-0.00208099,24342021.10703958,-156040.41589940,-0.00297817,-0.00409558,0.03533597,-0.03741696,0
2019-10-28,20686588.33333334,449000.00000000,12966640.00000000,34102228.33333334,33626.66666667,0.00098703,-0.00109601,24074784.55685451,-267236.55018506,-0.00510268,-0.00698093,0.02810836,-0.02920438,0
2019-10-29,20696760.55555556,449000.00000000,12966640.00000000,34112400.55555555,10172.22222222,0.00029829,-0.00079805,24118566.47615937,43781.91930486,0.00086133,0.00162364,0.02977764,-0.03057569,1
2019-10-30,20626277.77777778,513375.00000000,12966640.00000000,34106292.77777778,-6107.77777778,-0.00017905,-0.00097696,24489985.55232047,371419.07616110,0.00710403,0.01097547,0.04107993,-0.04205689,0
2019-10-31,20584977.77777778,552750.00000000,12966640.00000000,34104367.77777778,-1925.00000000,-0.00005644,-0.00103335,24908623.64627577,418638.09395531,0.00797068,0.01238387,0.05397253,-0.05500587,0
2019-11-01,20444588.75000000,552750.00000000,12966640.00000000,33963978.75000000,-140389.02777778,-0.00411645,-0.00514554,24727032.88755549,-181590.75872028,-0.00351817,-0.00945154,0.04401086,-0.04915641,1
2019-11-04,20431261.66666666,552750.00000000,12966640.00000000,33950651.66666666,-13327.08333334,-0.00039239,-0.00553591,24310923.39992324,-416109.48763225,-0.00785757,-0.01272616,0.03072461,-0.03626053,1
2019-11-05,20462872.63888888,552750.00000000,12966640.00000000,33982262.63888888,31610.97222222,0.00093109,-0.00460998,24025707.40807370,-285215.99184954,-0.00538655,-0.00761235,0.02287838,-0.02748837,0
2019-11-06,20492243.61111111,552750.00000000,12966640.00000000,34011633.61111111,29370.97222223,0.00086430,-0.00374966,24194968.59704832,169261.18897462,0.00325019,0.00600799,0.02902382,-0.03277348,1
2019-11-07,20538384.58333334,552750.00000000,12966640.00000000,34057774.58333334,46140.97222222,0.00135662,-0.00239813,23695133.77892667,-499834.81812165,-0.00953512,-0.01364083,0.01498708,-0.01738521,0
2019-11-08,20540895.55555556,552750.00000000,12966640.00000000,34060285.55555555,2510.97222222,0.00007373,-0.00232458,23608588.91419760,-86544.86472906,-0.00166376,-0.00256152,0.01238718,-0.01471175,0
2019-11-11,20554238.47222222,552750.00000000,12966640.00000000,34073628.47222222,13342.91666667,0.00039174,-0.00193374,23615313.29119724,6724.37699963,0.00012529,0.00061326,0.01300803,-0.01494178,1
2019-11-12,20564169.44444444,552750.00000000,12966640.00000000,34083559.44444445,9930.97222222,0.00029146,-0.00164285,23761159.46339984,145846.17220260,0.00285204,0.00475767,0.01782759,-0.01947044,1
2019-11-13,20563440.41666666,552750.00000000,12966640.00000000,34082830.41666666,-729.02777778,-0.00002139,-0.00166421,23970391.40429245,209231.94089262,0.00407766,0.00633784,0.02427842,-0.02594262,0
2019-11-14,21574176.38888888,589625.00000000,11966640.00000000,34130441.38888888,47610.97222222,0.00139692,-0.00026961,24256994.14701320,286602.74272075,0.00552711,0.01009507,0.03461858,-0.03488820,1
2019-11-15,21582117.36111111,589625.00000000,11966640.00000000,34138382.36111111,7940.97222223,0.00023267,-0.00003701,24207433.86348145,-49560.28353175,-0.00096379,-0.00124457,0.03333093,-0.03336794,0
2019-11-18,21606250.27777778,589625.00000000,11966640.00000000,34162515.27777778,24132.91666666,0.00070691,0.00066988,24267470.37307140,60036.50958994,0.00115602,0.00252010,0.03593503,-0.03526515,1
